[2026-04-19T22:10:15.768+0100][0.010s][info][gc,init] CardTable entry size: 512
[2026-04-19T22:10:15.768+0100][0.010s][info][gc     ] Using G1
[2026-04-19T22:10:15.768+0100][0.011s][info][gc,init] Version: 21.0.6+7-LTS (release)
[2026-04-19T22:10:15.768+0100][0.011s][info][gc,init] CPUs: 8 total, 8 available
[2026-04-19T22:10:15.768+0100][0.011s][info][gc,init] Memory: 8192M
[2026-04-19T22:10:15.768+0100][0.011s][info][gc,init] Large Page Support: Disabled
[2026-04-19T22:10:15.768+0100][0.011s][info][gc,init] NUMA Support: Disabled
[2026-04-19T22:10:15.768+0100][0.011s][info][gc,init] Compressed Oops: Enabled (Zero based)
[2026-04-19T22:10:15.768+0100][0.011s][info][gc,init] Heap Region Size: 1M
[2026-04-19T22:10:15.768+0100][0.011s][info][gc,init] Heap Min Capacity: 8M
[2026-04-19T22:10:15.768+0100][0.011s][info][gc,init] Heap Initial Capacity: 128M
[2026-04-19T22:10:15.768+0100][0.011s][info][gc,init] Heap Max Capacity: 2G
[2026-04-19T22:10:15.768+0100][0.011s][info][gc,init] Pre-touch: Disabled
[2026-04-19T22:10:15.768+0100][0.011s][info][gc,init] Parallel Workers: 8
[2026-04-19T22:10:15.768+0100][0.011s][info][gc,init] Concurrent Workers: 2
[2026-04-19T22:10:15.768+0100][0.011s][info][gc,init] Concurrent Refinement Workers: 8
[2026-04-19T22:10:15.768+0100][0.011s][info][gc,init] Periodic GC: Disabled
[2026-04-19T22:10:15.798+0100][0.041s][info][gc,metaspace] CDS archive(s) mapped at: [0x0000000400000000-0x0000000400c90000-0x0000000400c90000), size 13172736, SharedBaseAddress: 0x0000000400000000, ArchiveRelocationMode: 1.
[2026-04-19T22:10:15.798+0100][0.041s][info][gc,metaspace] Compressed class space mapped at: 0x0000000401000000-0x0000000441000000, reserved size: 1073741824
[2026-04-19T22:10:15.798+0100][0.041s][info][gc,metaspace] Narrow klass base: 0x0000000400000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[2026-04-19T22:10:15.864+0100][0.107s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-19T22:10:15.865+0100][0.107s][info][gc,task     ] GC(0) Using 3 workers of 8 for evacuation
[2026-04-19T22:10:15.867+0100][0.109s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.1ms
[2026-04-19T22:10:15.867+0100][0.110s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.0ms
[2026-04-19T22:10:15.867+0100][0.110s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 2.0ms
[2026-04-19T22:10:15.867+0100][0.110s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.2ms
[2026-04-19T22:10:15.867+0100][0.110s][info][gc,phases   ] GC(0)   Other: 0.1ms
[2026-04-19T22:10:15.867+0100][0.110s][info][gc,heap     ] GC(0) Eden regions: 23->0(39)
[2026-04-19T22:10:15.867+0100][0.110s][info][gc,heap     ] GC(0) Survivor regions: 0->3(3)
[2026-04-19T22:10:15.867+0100][0.110s][info][gc,heap     ] GC(0) Old regions: 2->3
[2026-04-19T22:10:15.867+0100][0.110s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[2026-04-19T22:10:15.867+0100][0.110s][info][gc,metaspace] GC(0) Metaspace: 238K(448K)->238K(448K) NonClass: 226K(320K)->226K(320K) Class: 11K(128K)->11K(128K)
[2026-04-19T22:10:15.867+0100][0.110s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 24M->4M(130M) 2.510ms
[2026-04-19T22:10:15.867+0100][0.110s][info][gc,cpu      ] GC(0) User=0.01s Sys=0.00s Real=0.00s
[2026-04-19T22:10:15.903+0100][0.146s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2026-04-19T22:10:15.903+0100][0.146s][info][gc,task     ] GC(1) Using 3 workers of 8 for evacuation
